point,sr1,asr1,sr2,asr2,sr3,asr3,sr4,asr4
339,34834,34472,37433,37273,25333,24552,25295,24520
340,34830,34470,37419,37263,25327,24550,25289,24527
341,34835,34471,37424,37234,25326,24545,25290,24516
342,34845,34458,37409,37240,25323,24544,25302,24514
343,34848,34455,37417,37251,25330,24549,25300,24526
344,34840,34457,37420,37243,25324,24551,25297,24527
345,34838,34447,37418,37219,25320,24538,25293,24532
346,34830,34447,37404,37220,25330,24548,25293,24524
347,34823,34452,37390,37223,25330,24541,25292,24513
348,34817,34464,37367,37211,25317,24544,25290,24511
349,34825,34440,37373,37203,25319,24536,25286,24495
350,34824,34440,37395,37211,25317,24533,25290,24500
351,34818,34421,37393,37225,25320,24541,25288,24509
352,34814,34434,37381,37209,25320,24534,25285,24526
353,34815,34444,37377,37209,25320,24529,25295,24511
354,34808,34436,37371,37182,25318,24531,25291,24519
355,34808,34435,37360,37191,25329,24552,25290,24521
356,34811,34433,37371,37189,25323,24557,25287,24513
357,34806,34413,37378,37168,25324,24558,25291,24514
358,34807,34395,37369,37166,25321,24555,25301,24530
359,34799,34387,37377,37188,25327,24548,25292,24532
360,34785,34383,37377,37215,25321,24541,25278,24518
361,34779,34393,37378,37202,25327,24545,25288,24517
362,34778,34371,37373,37166,25317,24544,25296,24518
363,34782,34356,37373,37145,25323,24528,25295,24505
364,34781,34347,37370,37141,25315,24536,25285,24517
365,34779,34352,37364,37157,25323,24543,25289,24504
366,34778,34318,37352,37142,25315,24542,25293,24514
367,34772,34313,37358,37142,25314,24546,25299,24524
368,34757,34295,37349,37141,25313,24528,25289,24515
369,34759,34266,37346,37130,25317,24531,25288,24512
370,34764,34258,37332,37111,25321,24540,25288,24512
371,34764,34245,37341,37118,25319,24532,25290,24524
372,34766,34257,37353,37111,25318,24544,25291,24521
373,34767,34271,37352,37112,25312,24549,25282,24510
374,34770,34283,37351,37126,25310,24546,25285,24499
375,34784,34281,37347,37122,25306,24539,25281,24484
376,34763,34286,37341,37110,25306,24538,25296,24507
377,34773,34290,37334,37093,25314,24528,25293,24513
378,34771,34301,37338,37081,25319,24538,25287,24512
379,34764,34320,37340,37069,25318,24522,25287,24512
